,district
0,CENTRO
1,ARGANZUELA
2,RETIRO
3,SALAMANCA
4,CHAMARTÍN
5,TETUÁN
6,CHAMBERÍ
7,FUENCARRAL-EL PARDO
8,MONCLOA-ARAVACA
9,LATINA
10,CARABANCHEL
11,USERA
12,PUENTE DE VALLECAS
13,MORATALAZ
14,CIUDAD LINEAL
15,HORTALEZA
16,VILLAVERDE
17,VILLA DE VALLECAS
18,VICÁLVARO
19,SAN BLAS-CANILLEJAS
20,BARAJAS
